packageName,property,expected,actual,group
ch.ethz.rse.integration.tests.Test_Nonterm_Unreachable,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Overwrite_Numerical,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Pointer_Ambiguous_If,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Pointer_Ambiguous_If_2,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Pointer_Ambiguous_Loop,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Pointer_Assignment,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Pointer_Independent,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Pointer_Reassignment,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Pointer_Unused,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Arith,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Arith_2,OVERALL_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Empty,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Empty,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Empty,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_IfAlt,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Neg,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Neg_2,OVERALL_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Sum,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Sum_2,OVERALL_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_TakeM,OVERALL_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_TakeM2,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Unreach,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Unreach_2,OVERALL_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Profit_Unreach_Call,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Short_Loop,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Short_Loop,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Short_Loop_2,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Short_Loop_2,OVERALL_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Smaller_Relational,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Smaller_Relational_2,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Assignment,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Geq,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Loop,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Multiple,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Multiple,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Neq,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Neq,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Nested,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Reachable,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unreachable_Reachable,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Unrelated_Argument,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
